Designator,Mid X,Mid Y,Rotation,Layer
C1,214.625,-36.95,90.0,top
C10,198.375,-36.925,90.0,top
C12,212.36,-48.595,270.0,top
C13,208.23,-59.9,180.0,top
C14,203.425,-46.12,0.0,top
C15,220.8,-79.1375,270.0,top
C16,218.8,-79.1375,90.0,top
C17,220.85,-67.9125,90.0,top
C18,223.0,-67.9125,270.0,top
C2,214.155,-77.72,270.0,top
C3,214.155,-72.745,90.0,top
C4,201.53,-69.32,0.0,top
C5,204.53,-69.32,180.0,top
C6,210.125,-41.325,90.0,top
C7,200.46,-55.675,90.0,top
C8,194.275,-39.325,90.0,top
D1,194.4,-44.9,180.0,top
D2,202.5952,-39.23,0.0,top
IC1,200.865,-43.225,270.0,top
J1,206.375,-34.1,180.0,top
J2,207.68,-87.2,90.0,top
J3,188.295,-35.3,90.0,top
R1,207.225,-41.6,270.0,top
R10,163.525,-48.459934,180.0,top
R11,163.575,-51.9,180.0,top
R12,158.751736,-50.1,0.0,top
R13,250.405,-52.32,0.0,top
R14,255.705,-50.38,180.0,top
R15,250.355,-48.58,0.0,top
R16,255.705,-46.68,180.0,top
R17,204.69,-59.435,90.0,top
R18,208.4,-63.5,180.0,top
R19,213.725,-51.3,180.0,top
R2,205.325,-41.625,270.0,top
R20,188.175,-48.8,180.0,top
R21,226.7,-48.9,0.0,top
R22,156.025,-29.0,270.0,top
R23,258.48,-29.395,270.0,top
R24,155.975,-20.475,90.0,top
R25,258.49,-20.745,90.0,top
R26,192.3,-57.4,0.0,top
R3,203.5,-41.425,90.0,top
R4,213.56,-62.61,270.0,top
R5,200.375,-46.125,180.0,top
R6,198.325,-43.525,90.0,top
R7,180.4,-64.45,180.0,top
R8,238.75,-64.85,180.0,top
R9,158.775,-46.9,0.0,top
S1,161.35,-40.45,180.0,top
S10,208.0,-93.9,0.0,top
S11,252.79,-28.92,180.0,top
S12,194.375,-51.35,180.0,top
S13,220.375,-51.35,180.0,top
S14,161.58,-20.35,0.0,top
S15,252.76,-20.67,0.0,top
S2,170.93,-49.48,270.0,top
S3,161.15,-58.525,0.0,top
S4,151.255,-49.38,270.0,top
S5,252.93,-58.12,0.0,top
S6,262.68,-49.87,90.0,top
S7,242.93,-49.87,270.0,top
S8,252.93,-41.12,180.0,top
S9,161.58,-28.53,180.0,top
U1,206.3625,-52.1,0.0,top
U3,178.657,-78.84,0.0,top
U4,237.702,-79.1225,0.0,top
Y1,210.505,-75.27,270.0,top
Y2,203.055,-74.62,0.0,top
